Burger,Fries,Cola,Shake,Chicken Nuggets,Salad,Ice Cream,Coffee,Tea,Smoothie,Onion Rings,Cheese Sticks,Pasta,Soup,Grilled Sandwich,Wrap,Muffin,Donut,Brownie,Water,Transaction_ID
1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,102
1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,103
0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,104
0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,105
1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,106
1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,107
1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,108
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,109
0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,110
1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,111
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,112
1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,113
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,114
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,116
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,118
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,119
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,120
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,121
0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,122
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,123
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,124
0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,125
1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,126
0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,127
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,128
1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,129
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,130
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,131
1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,132
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,133
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,134
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,135
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,136
1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,137
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,138
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,139
0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,140
1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,141
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,142
0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,143
1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,144
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,145
0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,146
0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,147
0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,148
0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,149
0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,150
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,151
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,152
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,153
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,154
1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,155
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,156
0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,157
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,158
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,159
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,160
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,161
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,163
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,164
0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,165
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,166
0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,167
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,168
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,169
0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,170
0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,171
1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,172
0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,173
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,174
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,175
0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,176
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,177
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178
0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,179
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,180
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,181
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,182
0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,183
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,184
1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,185
0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,186
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,187
1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,188
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,189
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,190
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,191
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,192
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,193
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,194
0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,195
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,196
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,197
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,198
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,199
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,200
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,201
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,202
1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,203
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,204
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,205
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,206
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,207
0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,208
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,209
0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,210
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,211
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,212
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,213
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,214
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,215
0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,216
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,217
0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,218
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,219
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,220
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,222
1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,223
0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,224
0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,225
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,226
1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,227
0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,228
1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,229
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,230
0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,231
1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,232
1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,233
0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,234
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,235
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,236
0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,237
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,238
0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,239
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,240
0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,241
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,242
1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,243
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,244
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245
0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,246
1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,247
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,248
0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,249
1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,250
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,251
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,252
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,253
1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,254
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,255
0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,256
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,257
0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,258
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,259
0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,260
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,261
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,262
1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,263
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,264
1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,265
1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,266
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,267
1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,268
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,269
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,270
0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,271
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,272
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,273
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,274
1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,275
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,276
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,277
0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,278
0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,279
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,280
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,281
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,282
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,283
0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,284
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,285
0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,286
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,287
1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,288
1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,289
0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,290
0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,291
1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,292
0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,293
0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,294
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,295
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,296
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,297
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,298
0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,299
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,300
0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,301
0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,302
0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,303
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,304
0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,305
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,306
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,307
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,308
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,309
0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,310
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,311
1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,312
1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,313
0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,314
1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,315
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,316
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,317
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,318
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,319
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,320
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,321
1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,322
0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,323
0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,324
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,325
0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,326
0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,327
